city,state
Pūnch,Jammu and Kashmir
Kilakarai,Tamil Nadu
Zunheboto,Nagaland
Zamānia,Uttar Pradesh
Zaidpur,Uttar Pradesh
Zahirābād,Telangana
Yeola,Maharashtra
Yellāpur,Karnataka
Yellandu,Telangana
Yelahanka,Karnataka
Yavatmāl,Maharashtra
Yāval,Maharashtra
Yanam,Andhra Pradesh
Yamuna Nagar,Haryana
Yadgir,Karnataka
Wokha,Nagaland
Weir,Rajasthan
Wellington,Tamil Nadu
Wazīrganj,Uttar Pradesh
Wāshīm,Maharashtra
Warud,Maharashtra
Warora,Maharashtra
Wāris Alīganj,Bihar
Wardha,Maharashtra
Wārāseonī,Madhya Pradesh
Warangal,Telangana
Wanparti,Telangana
Wānkāner,Gujarat
Wani,Maharashtra
Waluj Buzurg,Maharashtra
Walajapet,Tamil Nadu
Wai,Maharashtra
Wādi,Karnataka
Wadgaon,Maharashtra
Vypīn,Kerala
Vyāra,Gujarat
Vuyyūru,Andhra Pradesh
Vrindāvan,Uttar Pradesh
Vriddhāchalam,Tamil Nadu
Vizianagaram,Andhra Pradesh
Vittal,Karnataka
Vite,Maharashtra
Visnagar,Gujarat
Vishāram,Tamil Nadu
Visakhapatnam,Andhra Pradesh
Vīsāvadar,Gujarat
Virudunagar,Tamil Nadu
Vadakku Viravanallur,Tamil Nadu
Virajpet,Karnataka
Virār,Maharashtra
Viramgām,Gujarat
Vinukonda,Andhra Pradesh
Villupuram,Tamil Nadu
Villianur,Puducherry
Vilattikulam,Tamil Nadu
Vikramasingapuram,Tamil Nadu
Vikārābād,Telangana
Vijayawada,Andhra Pradesh
Vijāpur,Gujarat
Vidisha,Madhya Pradesh
Vettūr,Kerala
Vettavalam,Tamil Nadu
Vettaikkaranpudur,Tamil Nadu
Vetapālem,Andhra Pradesh
Verāval,Gujarat
Vepagunta,Andhra Pradesh
Venkatagiri,Andhra Pradesh
Vemalwāda,Telangana
Velur,Tamil Nadu
Vellore,Tamil Nadu
Vellakkovil,Tamil Nadu
Vejalpur,Gujarat
Vedaraniyam,Tamil Nadu
Vayalār,Kerala
Vattalkundu,Tamil Nadu
Vāsudevanallūr,Tamil Nadu
Vasind,Maharashtra
Vasco da Gama,Goa
